42	364
43	476
44	484
45	317
46	184
47	93
48	45
49	24
50	18
51	15
52	23
53	19
54	24
55	21
56	15
57	31
58	24
59	26
60	26
61	27
62	37
63	67
64	150
65	199
66	308
67	391
68	393
69	404
70	434
71	391
72	358
73	379
74	355
75	329
76	309
77	310
78	312
79	316
80	306
81	257
82	256
83	247
84	250
85	226
86	223
87	193
88	186
89	171
90	141
91	124
92	136
93	132
94	120
95	123
96	118
97	102
98	87
99	79
100	89
101	82
102	83
103	74
104	64
105	59
106	54
107	62
108	72
109	59
110	50
111	63
112	64
113	64
114	65
115	43
116	52
117	48
118	45
119	47
120	38
121	35
122	33
123	40
124	37
125	42
126	37
127	45
128	32
129	31
130	35
131	38
132	22
133	28
134	44
135	23
136	30
137	22
138	27
139	23
140	28
141	32
142	23
143	24
144	24
145	20
146	22
147	19
148	14
149	18
150	20
151	18
152	19
153	23
154	15
155	19
156	15
157	22
158	12
159	12
160	8
161	21
162	13
163	13
164	9
165	10
166	7
167	14
168	12
169	13
170	9
171	7
172	6
173	13
174	7
175	3
176	6
177	9
178	8
179	9
180	8
181	6
182	3
183	6
184	7
185	5
186	3
187	7
188	4
189	8
190	5
191	4
192	6
193	5
194	1
195	4
196	4
197	3
198	5
199	3
200	4
201	4
202	5
203	5
204	3
205	1
206	1
207	2
208	2
209	3
210	1
211	1
212	0
213	2
214	1
215	1
216	3
217	3
218	2
219	0
220	5
221	3
222	3
223	2
224	2
225	2
226	1
227	1
228	4
229	3
230	4
231	3
232	2
233	3
234	6
235	2
236	2
237	6
238	3
239	5
240	9
241	7
242	6
243	7
244	6
245	8
246	8
247	5
248	3
249	9
250	7
251	8
252	4
253	6
254	8
255	12
256	9
257	8
258	12
259	13
260	12
261	11
262	13
263	14
264	16
265	15
266	18
267	15
268	13
269	20
270	15
271	12
272	20
273	13
274	11
275	16
276	18
277	14
278	11
279	15
280	16
281	15
282	13
283	23
284	15
285	20
286	18
287	24
288	22
289	19
290	16
291	20
292	22
293	22
294	16
295	18
296	24
297	13
298	15
299	15
300	13
301	18
302	22
303	15
304	20
305	17
306	10
307	15
308	17
309	15
310	14
311	10
312	16
313	10
314	14
315	21
316	10
317	14
318	11
319	8
320	10
321	13
322	8
323	3
324	7
325	10
326	5
327	2
328	8
329	5
330	3
331	0
332	2
333	4
334	6
335	2
336	5
337	3
338	5
339	2
340	2
341	3
342	2
343	2
344	4
345	1
346	1
347	0
348	0
349	0
350	4
351	1
352	1
353	0
354	0
355	0
356	2
357	0
358	1
359	1
360	0
361	1
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	1
371	0
372	0
373	0
374	1
375	0
376	0
377	1
378	1
379	0
380	1
381	0
382	1
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	1
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	1
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	1
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	1
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	1
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	1
