matmul(w2)	49.05	87.44	40.72	61.45	81.09
w2_dequant	82.98	82.98	82.99	82.99	83.00
matmul(w3)	74.40	84.24	44.90	74.15	86.11
w3_dequant	82.98	82.94	82.95	82.95	82.95
silu	31.98	27.34	28.70	30.95	27.45
matmul(w1)	74.32	84.23	44.73	74.05	86.13
w1_dequant	82.97	82.95	82.96	82.96	82.96
softmax	0.35	1.39	0.35	1.39	5.28
topk	4.34	16.57	4.58	17.75	36.70
matmul(router)	19.96	22.97	19.73	23.16	37.20
router_dequant	2.33	2.32	2.31	2.31	2.29
time_weighted	71.09	82.98	65.59	73.97	81.95
